,discount,price,no of items,location,class,segment,sub-class,delivery type,RID,profit,duration,address code new,Corporate,Home Office,fynota,kariox,qexty,Central,South,First Class,Same Day,Second Class,placement_week,placement_which_day,delivery_year,delivery_day,deliveryt_week,delivery_which_day,delivery_quarter
0,0.2,2.8002038892727548,2,Central,kariox,Consumer,phone,Standard Class,7981,5.5512,0,78134.98952679228,0,0,0,1,0,1,0,0,0,0,1,0,2018,1,1,0,1
1,0.0,3.391147045808654,5,Central,kariox,Consumer,headset,Standard Class,6334,13.365,0,49224.98952679228,0,0,0,1,0,1,0,0,0,0,1,0,2018,1,1,0,1
2,0.0,2.689886230474539,3,Central,qexty,Consumer,shorts,Standard Class,6333,4.8609,0,49224.98952679228,0,0,0,0,1,1,0,0,0,0,1,0,2018,1,1,0,1
3,0.0,3.7823697972012753,3,Central,kariox,Consumer,television,Standard Class,6332,12.7368,0,49224.98952679228,0,0,0,1,0,1,0,0,0,0,1,0,2018,1,1,0,1
4,0.0,4.198404232146879,2,Central,kariox,Consumer,laptop,Standard Class,6331,15.9792,0,49224.98952679228,0,0,0,1,0,1,0,0,0,0,1,0,2018,1,1,0,1
5,0.1,5.512282928676453,4,Central,kariox,Consumer,battery,Standard Class,6330,93.5816,0,49224.98952679228,0,0,0,1,0,1,0,0,0,0,1,0,2018,1,1,0,1
6,0.0,2.94706710157271,5,Central,kariox,Consumer,headset,Standard Class,6329,8.9535,0,49224.98952679228,0,0,0,1,0,1,0,0,0,0,1,0,2018,1,1,0,1
7,0.0,5.609251990809968,3,Central,qexty,Consumer,shorts,Standard Class,6328,30.0234,0,49224.98952679228,0,0,0,0,1,1,0,0,0,0,1,0,2018,1,1,0,1
8,0.7,4.207583957828612,1,South,kariox,Corporate,headset,Standard Class,7121,-51.5154,0,38206.98952679228,1,0,0,1,0,0,1,0,0,0,1,0,2018,1,1,0,1
9,0.0,2.637627736805664,1,Central,kariox,Consumer,laptop,Standard Class,6327,4.0542,0,49224.98952679228,0,0,0,1,0,1,0,0,0,0,1,0,2018,1,1,0,1
10,0.0,6.973486838166717,3,South,qexty,Consumer,tshirts,Standard Class,1127,224.2674,0,73440.98952679228,0,0,0,0,1,0,1,0,0,0,1,0,2018,1,1,0,1
11,0.0,3.15016862685841,3,South,kariox,Consumer,watch,Standard Class,1126,10.9698,0,73440.98952679228,0,0,0,1,0,0,1,0,0,0,1,0,2018,1,1,0,1
12,0.0,1.891604804197771,3,South,kariox,Consumer,television,Standard Class,1125,1.7901,0,73440.98952679228,0,0,0,1,0,0,1,0,0,0,1,0,2018,1,1,0,1
13,0.0,3.653252276470785,4,South,qexty,Consumer,shorts,Standard Class,1124,11.58,0,73440.98952679228,0,0,0,0,1,0,1,0,0,0,1,0,2018,1,1,0,1
14,0.0,3.133753571451366,7,South,kariox,Consumer,television,Standard Class,1123,6.6584,0,73440.98952679228,0,0,0,1,0,0,1,0,0,0,1,0,2018,1,1,0,1
15,0.0,6.550980330043071,7,South,fynota,Consumer,colddrinks,Standard Class,1122,181.9818,0,73440.98952679228,0,0,1,0,0,0,1,0,0,0,1,0,2018,1,1,0,1
16,0.7,5.201090350786933,5,West,qexty,Consumer,pants,First Class,5466,-320.597,0,86293.98952679228,0,0,0,0,1,0,0,1,0,0,1,0,2018,1,1,0,1
17,0.0,2.963209081848431,2,West,kariox,Consumer,phone,Standard Class,5737,9.2928,0,91088.98952679228,0,0,0,1,0,0,0,0,0,0,1,0,2018,1,1,0,1
18,0.2,4.688775769842889,5,West,kariox,Consumer,watch,First Class,5465,36.693000000000005,0,86293.98952679228,0,0,0,1,0,0,0,1,0,0,1,0,2018,1,1,0,1
